timestamp,tag,L,beta,therm,sweeps,measure_every,rects,nsamples_pos,seed,rect_a,rect_b,perimeter,area,meanW,neglogW
2025-08-22T00:44:40Z,L8_beta0.5,8,0.5,100,200,10,"1x1,1x2,2x2,3x3",200,1234,1,1,4,1,0.4715000000000001,0.7518361769086247
2025-08-22T00:44:40Z,L8_beta0.5,8,0.5,100,200,10,"1x1,1x2,2x2,3x3",200,1234,1,2,6,2,0.20950000000000002,1.5630315396199446
2025-08-22T00:44:40Z,L8_beta0.5,8,0.5,100,200,10,"1x1,1x2,2x2,3x3",200,1234,2,2,8,4,0.07849999999999999,2.5446566541937745
2025-08-22T00:44:40Z,L8_beta0.5,8,0.5,100,200,10,"1x1,1x2,2x2,3x3",200,1234,3,3,12,9,1e-12,27.631021115928547
2025-08-22T00:46:43Z,L10_beta0.9,10,0.9,300,800,20,"1x1,1x2,2x2,3x3",200,1234,1,1,4,1,0.9924999999999999,0.007528266420791636
2025-08-22T00:46:43Z,L10_beta0.9,10,0.9,300,800,20,"1x1,1x2,2x2,3x3",200,1234,1,2,6,2,0.9872500000000001,0.01283197881537818
2025-08-22T00:46:43Z,L10_beta0.9,10,0.9,300,800,20,"1x1,1x2,2x2,3x3",200,1234,2,2,8,4,0.982,0.01816397062767118
2025-08-22T00:46:43Z,L10_beta0.9,10,0.9,300,800,20,"1x1,1x2,2x2,3x3",200,1234,3,3,12,9,0.9714999999999998,0.028914010164642474
